ticker,company_name,exchange,sector,overall_rating,planet_friendly_business,honest_fair_business,no_war_no_weapons,fair_pay_worker_respect,better_health_for_all,safe_smart_tech,kind_to_animals,respect_cultures_communities,fair_money_economic_opportunity,fair_trade_ethical_sourcing,zero_waste_sustainable_products
A,Agilent Technologies Inc,US,"Manufacture of measuring, testing, navigating and control equipment",Mixed,-30,10,-20,10,30,20,-20,0,0,-20,20
AAPL,Apple Inc,US,Manufacture of computers and peripheral equipment,Mixed,40,-20,-20,-30,30,20,10,25,0,0,50
ABBV,AbbVie Inc,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-40,-40,0,-10,20,10,-30,25,0,-30,-20
ABNB,Airbnb Inc,US,Short term accommodation activities,Mixed,-20,-50,0,10,-10,-10,20,25,20,0,-10
ABT,Abbott Laboratories,US,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Mixed,-30,-50,-50,-30,40,-30,-30,50,0,-30,30
ACGL,Arch Capital Group Ltd,US,Reinsurance,Mixed,10,0,0,40,0,20,0,0,0,0,0
ACN,Accenture plc,US,Management consultancy activities,Mixed,40,-20,-20,10,10,30,0,25,0,20,0
ADBE,Adobe Systems Incorporated,US,Software publishing,Mixed,10,-20,-20,10,10,40,0,25,0,10,70
ADI,Analog Devices Inc,US,Manufacture of electronic components and boards,Mixed,20,-10,-30,0,20,10,0,0,0,-40,30
ADM,Archer-Daniels-Midland Company,US,Manufacture of grain mill products,Mixed,-30,-30,0,-30,-30,0,-10,0,0,-30,-20
ADP,Automatic Data Processing Inc,US,Other information technology and computer service activities,Mixed,-30,0,0,-10,20,20,0,25,0,0,0
ADSK,Autodesk Inc,US,Computer programming activities,Mixed,50,-30,0,20,10,10,0,25,10,0,30
AEE,Ameren Corp,US,"Electric power generation, transmission and distribution",Mixed,-30,-20,0,0,10,10,0,25,0,-20,-20
AEP,American Electric Power Co Inc,US,"Electric power generation, transmission and distribution",Mixed,-30,-30,0,10,-20,10,10,25,0,-20,-10
AES,The AES Corporation,US,"Electric power generation, transmission and distribution",Mixed,-30,0,0,10,-20,0,10,-30,0,-20,-10
AFL,Aflac Incorporated,US,Life insurance,Mixed,40,40,0,-20,30,20,0,25,0,0,0
AIG,American International Group Inc,US,Life insurance,Mixed,-30,-20,0,0,10,10,0,0,-10,0,0
AIZ,Assurant Inc,US,Non-life insurance,Mixed,-20,-30,0,20,10,40,0,0,-10,0,20
AJG,Arthur J Gallagher & Co,US,Activities of insurance agents and brokers,Mixed,-10,20,0,-20,10,-50,0,25,0,0,0
AKAM,Akamai Technologies Inc,US,"Data processing, hosting and related activities",Mixed,-30,30,0,0,0,30,0,0,0,0,-10
ALB,Albemarle Corp,US,Manufacture of basic chemicals,Mixed,-30,-20,-10,-40,10,10,0,25,-10,-30,0
