company,symbol,sector,greenwashing_label,model_risk_score
"Air Products & Chemicals, Inc.",APD,Basic Materials,0,1.1149009685837842e-05
Albemarle Corporation,ALB,Basic Materials,0,3.899814950945507e-06
Eastman Chemical Company,EMN,Basic Materials,0,2.566717125597828e-07
"Ecolab, Inc.",ECL,Basic Materials,0,7.794288970920384e-08
Fmc Corporation,FMC,Basic Materials,0,4.6850220221326446e-07
Freeport-Mcmoran Inc.,FCX,Basic Materials,0,1.1731728459038697e-07
Lyondellbasell Industries N.v. Class A,LYB,Basic Materials,0,7.618910773570498e-06
Martin Marietta Materials,MLM,Basic Materials,0,1.3448712426790316e-07
Newmont Corporation,NEM,Basic Materials,0,1.1278223100314964e-07
Nucor Corporation,NUE,Basic Materials,0,1.3054198824364138e-06
"Ppg Industries, Inc.",PPG,Basic Materials,0,2.0219721510500763e-06
Steel Dynamics Inc,STLD,Basic Materials,0,1.078576741977537e-05
The Sherwin-Williams Company,SHW,Basic Materials,0,1.4243148551909241e-07
Vulcan Materials Company,VMC,Basic Materials,0,1.2487766096150111e-06
Charter Comm Inc Del Cl a,CHTR,Communication Services,0,8.330962944349496e-07
Comcast Corp,CMCSA,Communication Services,0,2.8427045800756195e-07
"T-Mobile Us, Inc.",TMUS,Communication Services,0,3.349515912739173e-05
"The Interpublic Group of Companies, Inc.",IPG,Communication Services,0,5.772186236278845e-06
Verizon Communications,VZ,Communication Services,0,1.6282432567843988e-06
Amazon.com Inc,AMZN,Consumer Cyclical,1,0.9999614135431794
Aptiv Plc,APTV,Consumer Cyclical,0,5.286870312610998e-07
Avery Dennison Corp.,AVY,Consumer Cyclical,0,2.01102975716627e-07
"Best Buy Company, Inc.",BBY,Consumer Cyclical,0,7.363381161698949e-08
Booking Holdings Inc.,BKNG,Consumer Cyclical,0,7.902866433657934e-07
Borgwarner Inc.,BWA,Consumer Cyclical,0,1.6305078480569395e-05
Carmax Inc.,KMX,Consumer Cyclical,0,2.2976020719718882e-07
Carnival Corporation,CCL,Consumer Cyclical,0,2.393542677620223e-06
"Chipotle Mexican Grill, Inc.",CMG,Consumer Cyclical,0,2.25360599337512e-06
D.R. Horton Inc.,DHI,Consumer Cyclical,0,2.727098590965996e-07
Domino's Pizza Inc.,DPZ,Consumer Cyclical,0,3.275522414792476e-07
Ebay Inc,EBAY,Consumer Cyclical,0,1.9467440080562742e-06
Genuine Parts Company,GPC,Consumer Cyclical,0,4.257447328111111e-08
Hilton Worldwide Holdings Inc.,HLT,Consumer Cyclical,0,2.6595779852643936e-08
Las Vegas Sands Corp.,LVS,Consumer Cyclical,0,3.890387413574985e-08
Lkq Corporation,LKQ,Consumer Cyclical,0,4.2027674351656216e-08
Lululemon Athletica Inc.,LULU,Consumer Cyclical,0,1.148446040760877e-06
Mgm Resorts International,MGM,Consumer Cyclical,0,3.267653599017489e-05
"Mohawk Industries, Inc.",MHK,Consumer Cyclical,0,4.831622233931727e-08
Norwegian Cruise Line Holdings Ltd.s,NCLH,Consumer Cyclical,0,1.1267697508943523e-07
Packaging Corp of America,PKG,Consumer Cyclical,0,6.8785344520289485e-06
"Pultegroup, Inc.",PHM,Consumer Cyclical,0,1.6456974793894092e-05
Starbucks Corp,SBUX,Consumer Cyclical,0,1.1875610436653928e-06
"Tapestry, Inc.",TPR,Consumer Cyclical,0,1.1112160285092624e-06
"Tesla, Inc.",TSLA,Consumer Cyclical,1,0.9999982906493643
"Tjx Companies, Inc.",TJX,Consumer Cyclical,0,5.580506999318612e-08
Wynn Resorts Ltd,WYNN,Consumer Cyclical,1,0.9999983937437359
"Yum! Brands, Inc.",YUM,Consumer Cyclical,0,3.807579943239804e-07
Archer Daniels Midland Company,ADM,Consumer Defensive,0,7.393075381063978e-06
Campbell Soup Company,CPB,Consumer Defensive,0,5.3875120098271726e-08
"Church & Dwight Co., Inc.",CHD,Consumer Defensive,0,1.2806590036120596e-06
"Conagra Brands, Inc.",CAG,Consumer Defensive,0,3.6682640823014023e-06
"Constellation Brands, Inc.",STZ,Consumer Defensive,0,6.712535835706806e-08
Dollar Tree Inc.,DLTR,Consumer Defensive,0,3.720843300888029e-06
Hormel Foods Corporation,HRL,Consumer Defensive,0,2.7569714835598746e-08
Kimberly-Clark Corp.,KMB,Consumer Defensive,0,1.1968946221281487e-07
"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,Consumer Defensive,0,6.919591688339985e-07
"Mondelez International, Inc. Class A",MDLZ,Consumer Defensive,0,5.102328969495512e-08
Sysco Corporation,SYY,Consumer Defensive,0,2.869268992577168e-08
Target Corporation,TGT,Consumer Defensive,0,4.09127521512736e-08
The Hershey Company,HSY,Consumer Defensive,0,6.688286828189061e-08
The J.M. Smucker Company,SJM,Consumer Defensive,0,7.735183882484798e-06
The Kraft Heinz Company,KHC,Consumer Defensive,0,1.0065982431419091e-07
"Tyson Foods, Inc.",TSN,Consumer Defensive,0,2.539559530746923e-06
Walmart Inc.,WMT,Consumer Defensive,0,5.9029314193609e-08
Apa Corporation,APA,Energy,0,1.938578973127536e-06
Chevron Corporation,CVX,Energy,1,0.9999992481007371
Conocophillips,COP,Energy,0,9.010280631032466e-06
Coterra Energy Inc.,CTRA,Energy,0,9.645015559691308e-05
Devon Energy Corporation,DVN,Energy,0,3.5346499560966845e-06
"Eog Resources, Inc.",EOG,Energy,0,2.071010156353054e-07
Eqt Corp,EQT,Energy,0,2.481582366792348e-06
Exxon Mobil Corporation,XOM,Energy,0,4.855298449099428e-06
"Kinder Morgan, Inc.",KMI,Energy,0,2.692247840300219e-06
Marathon Petroleum Corporation,MPC,Energy,0,9.901458090252472e-07
Occidental Petroleum Corporation,OXY,Energy,0,4.220070051178219e-05
